,busno,busid,stationid,stationnm,y,x,count
0,0017,4001700.0,03689,청암자이아파트,126.946555275,37.5345469961,1
1,0017,4001700.0,03321,청심경로당,126.950560337,37.5337062146,1
2,0017,4001700.0,03304,원효2동주민센터,126.95095038,37.5342145962,1
3,0017,4001700.0,03306,산천동,126.95400935,37.5353394954,1
4,0017,4001700.0,03308,신창동세방아파트,126.955070536,37.5356832219,1
5,0017,4001700.0,03310,남이장군사당,126.957980363,37.5366250384,1
6,0017,4001700.0,03312,새마을금고,126.959533764,37.5370716239,1
7,0017,4001700.0,03122,한강로동웨딩코리아,126.963934473,37.5252902941,1
8,0017,4001700.0,03296,원효2동산호아파트후문,126.94969324,37.5325434326,1
9,0017,4001700.0,03253,신용산역,126.967772416,37.5299780165,1
10,0017,4001700.0,03313,새마을금고,126.959418281,37.5371869247,1
11,0017,4001700.0,03311,남이장군사당,126.958280126,37.5368089685,1
12,0017,4001700.0,03309,신창동세방아파트,126.954947108,37.5358300537,1
13,0017,4001700.0,03307,산천동,126.953804454,37.5354772833,1
14,0017,4001700.0,03305,산천동리버힐삼성아파트,126.951192341,37.5345003443,1
15,0017,4001700.0,03322,삼성테마트,126.950384924,37.5337466904,1
16,0017,4001700.0,03900,청암자이아파트(가상),126.947079211,37.5344985728,1
17,1014,4101400.0,01245,동묘앞,127.017816314,37.5737292199,1
18,1014,4101400.0,08306,돈암시장입구,127.016701845,37.5919710492,1
19,1017,4101700.0,06180,용두시장앞,127.030334183,37.5791115868,1
20,1111,4111100.0,09176,강북보건소,127.039146763,37.6320982865,1
21,1111,4111100.0,08319,돈암초교입구,127.011575319,37.5911435628,1
22,1111,4111100.0,08239,한성대입구,127.007227865,37.5890939317,1
23,1111,4111100.0,08238,한성대입구,127.00765701,37.5889028738,1
24,1113,4111300.0,08246,길음시장,127.023092066,37.603149768,1
25,1114,4111400.0,08258,성북생태체험관,127.00599835,37.620170679,2
26,1114,4111400.0,08259,정릉초교,127.006200987,37.6184874427,2
27,1114,4111400.0,08260,정릉동풍림상가앞,127.007708569,37.6167005029,2
28,1114,4111400.0,08322,삼덕단지앞,127.005059701,37.6103867411,2
29,1114,4111400.0,08320,정릉3동주민센터앞,127.004254241,37.6082493969,2
30,1114,4111400.0,08321,정릉3동주민센터앞,127.004444524,37.608208841,2
31,1114,4111400.0,08323,삼덕단지앞,127.005263622,37.6109237793,2
32,1114,4111400.0,08338,정릉대림아파트,127.008906871,37.6151911012,2
33,1114,4111400.0,08261,정릉동풍림상가앞,127.007775408,37.6167428495,2
34,1114,4111400.0,08348,풍림아파트삼거리,127.007299703,37.6173880566,2
35,1114,4111400.0,08350,정릉초교,127.006261026,37.6184829341,2
36,1114,4111400.0,08349,성북생태체험관,127.00656023,37.6201174851,2
37,1115,4111501.0,09307,삼각산119안전센터,127.015040558,37.6198526912,1
38,1115,4111501.0,09274,강북구보건소삼각산분소,127.015281362,37.6174683906,1
39,1115,4111501.0,09295,삼각산동삼각산아이원아파트정문,127.016688001,37.6161778465,1
40,1115,4111501.0,09276,삼각산동삼각산아이원아파트후문,127.018549193,37.6163649943,1
41,1115,4111501.0,09303,삼각산고.래미안트리베라,127.02135904,37.6143803299,1
42,1115,4111501.0,09306,미아사거리역.롯데백화점,127.030228311,37.6140792311,1
43,1115,4111501.0,09302,삼각산고.래미안트리베라,127.021646769,37.6144208264,1
44,1115,4111501.0,09275,삼각산동삼각산아이원아파트후문,127.018831249,37.6163478291,1
45,1115,4111501.0,09298,삼각산동삼각산아이원아파트정문,127.016442229,37.616358098,1
46,1115,4111501.0,09273,강북구보건소삼각산분소,127.015449121,37.6179801848,1
47,1115,4111501.0,09308,삼각산119안전센터,127.015248981,37.6197697647,1
48,1117광주,90000248.0,49001,모란역,127.129502083,37.4310574877,1
49,1117광주,90000248.0,48042,모란고개,127.128479357,37.4369500748,1
50,1117광주,90000248.0,24420,복정역,127.126960989,37.4699755647,1
51,1117광주,90000248.0,48018,성남수정경찰서앞,127.12736699,37.4407242321,1
52,1117광주,90000248.0,48041,모란고개,127.12815862,37.4364052504,1
53,1117광주,90000248.0,49005,모란시장,127.128977991,37.4305255032,1
54,1119,4111900.0,10299,창동아이파크,127.046834591,37.6614977323,1
55,1119,4111900.0,10292,서울외국어고등학교,127.052536916,37.645248873,1
